lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
0,0,95.0,6,20,0,3,1,0,0,1
65,0,119.85,5,9,4,3,1,0,0,1
5,1,79.0,2,12,4,2,0,3,0,1
44,0,2.0,1,2,1,1,1,0,0,1
23,1,85.67,3,12,4,1,2,0,0,0
301,0,52.0,11,18,3,2,0,0,0,0
45,1,126.0,11,25,4,2,1,0,3,1
2,1,81.62,4,1,4,1,0,0,0,1
13,1,96.0,1,20,4,2,0,0,0,1
76,0,102.68,9,18,3,0,2,0,0,0
113,0,100.0,5,31,2,3,0,0,0,0
33,0,123.82,10,2,4,3,2,1,3,0
12,2,90.0,8,27,4,3,2,0,0,1
190,0,109.3,5,6,4,2,2,0,1,0
115,0,76.0,2,27,3,2,2,0,0,1
71,1,108.0,10,18,4,3,0,3,0,1
35,1,92.33,9,29,4,4,0,0,3,1
71,0,120.0,6,14,3,3,0,0,0,1
87,1,111.6,4,30,4,1,1,3,0,0
18,1,65.0,10,18,2,1,0,0,0,1
35,1,85.0,8,20,3,1,2,0,0,1
10,2,130.0,2,7,4,0,2,0,3,1
131,0,94.5,8,15,4,1,2,1,0,0
4,1,112.0,5,21,3,1,1,1,0,1
175,0,112.63,8,31,4,4,0,0,0,0
11,0,1.48,12,30,4,2,0,0,3,1
256,1,115.0,6,15,3,2,0,1,0,0
205,0,98.1,10,8,4,1,1,3,0,0
73,0,85.67,11,24,3,3,0,0,0,1
9,0,65.0,11,22,2,1,2,0,0,1
47,0,105.3,4,11,4,1,1,0,0,0
1,1,82.4,2,15,4,4,1,0,0,1
106,2,72.25,7,8,3,6,2,0,0,1
151,2,133.45,7,29,4,3,2,0,0,0
196,0,85.5,8,30,4,3,0,3,0,0
74,2,174.42,12,25,4,1,2,0,6,1
6,1,156.0,6,19,4,0,1,0,3,1
54,0,125.1,8,26,4,1,0,3,0,0
63,0,89.25,9,6,4,0,1,0,0,1
0,2,129.0,6,17,4,1,0,3,0,1
8,0,133.0,9,24,4,1,0,0,0,1
76,0,120.0,10,10,4,0,1,0,0,0
46,0,59.32,3,1,3,1,0,0,0,1
8,1,98.0,6,1,2,1,0,0,0,1
31,0,237.75,12,3,4,2,2,1,5,1
200,2,152.15,9,19,4,3,1,1,0,0
58,1,75.0,11,19,3,1,2,0,0,1
96,0,76.5,9,1,3,7,2,0,0,1
23,1,151.0,8,3,4,2,0,0,0,1
5,1,0.0,12,5,1,0,1,0,0,1
53,1,126.9,5,17,4,1,0,0,0,1
276,0,95.67,9,22,3,3,0,0,0,1
101,1,165.6,12,8,4,3,0,0,5,1
98,0,198.9,6,2,4,3,0,0,5,0
8,0,156.0,6,15,4,2,0,0,3,0
247,1,86.63,8,27,4,1,1,0,1,0
0,0,80.0,12,23,4,1,0,3,0,1
24,1,141.0,3,26,4,1,1,0,0,1
24,1,123.5,12,4,4,2,2,0,0,1
62,2,93.6,11,22,4,3,0,0,0,1
42,0,150.3,7,8,4,1,0,0,3,0
6,1,110.0,5,24,2,2,0,0,0,1
61,1,139.34,7,18,3,8,3,0,4,0
214,1,90.95,10,20,4,5,2,0,0,1
53,1,67.5,12,25,4,1,0,3,0,1
130,1,110.7,10,21,4,2,0,0,1,1
203,1,102.08,9,5,3,3,1,0,0,0
3,2,84.0,4,7,4,2,0,3,0,1
24,0,80.0,12,2,3,2,1,0,0,1
8,1,116.67,11,3,4,3,0,3,0,1
5,0,74.0,12,2,2,1,0,0,0,1
86,0,90.0,9,9,2,2,0,0,0,1
349,0,96.67,10,4,3,5,1,0,0,0
193,0,120.0,6,20,3,2,1,0,0,0
39,0,109.0,8,14,3,2,0,1,0,1
42,0,72.0,8,15,3,1,1,0,0,0
160,0,106.75,8,8,4,5,2,3,0,0
30,1,88.0,11,18,4,1,0,3,0,0
66,1,105.0,11,27,3,5,2,0,0,1
2,0,68.5,8,15,3,1,2,0,0,0
301,1,115.0,7,30,4,1,1,1,0,0
239,0,112.2,6,15,3,2,0,1,0,0
159,0,70.5,12,29,3,4,0,0,0,1
8,0,75.2,11,23,4,1,0,0,0,1
116,0,61.0,2,28,3,1,2,0,0,0
71,0,95.25,3,3,4,3,1,0,0,1
101,1,92.83,7,23,4,5,2,3,0,1
10,1,126.0,10,20,4,3,0,0,0,1
0,0,0.0,8,11,1,2,0,0,0,1
109,0,108.0,10,11,4,1,0,3,0,0
8,1,40.0,9,13,2,1,0,0,0,1
196,0,68.0,8,1,3,5,2,0,0,1
161,0,116.1,9,8,4,3,0,0,0,0
11,1,95.33,8,18,4,3,0,0,0,1
346,0,90.0,9,13,3,2,0,1,0,0
315,0,160.0,9,30,4,2,1,1,0,0
30,2,102.0,10,16,4,2,1,0,0,1
29,0,87.0,3,2,3,4,1,0,0,1
88,1,117.0,5,3,3,3,0,1,0,1
139,0,96.3,8,26,4,2,0,0,0,0
117,0,105.3,5,6,4,2,1,0,0,0
135,2,151.2,10,6,4,2,0,0,3,1
244,0,80.7,12,30,4,2,1,3,0,0
1,1,170.0,9,26,4,1,1,3,0,1
164,1,94.5,8,4,4,2,0,3,0,1
0,0,174.0,12,6,4,1,0,0,5,1
210,0,72.75,10,8,3,3,1,0,0,1
62,1,57.0,1,17,3,3,2,0,0,1
48,1,109.8,9,4,4,0,2,0,1,1
119,3,72.25,12,26,4,1,2,0,0,1
73,1,135.0,10,12,4,4,1,0,0,0
213,0,130.0,6,7,3,3,0,0,0,0
275,2,82.45,12,28,4,4,0,0,0,1
11,1,65.0,2,15,2,0,1,0,0,1
21,1,178.0,7,25,4,3,1,0,0,0
42,0,73.56,2,18,4,3,2,0,0,0
0,2,98.0,12,7,4,1,0,0,0,1
196,0,105.3,8,4,4,3,0,0,0,0
65,1,112.2,4,8,4,3,2,0,3,1
74,0,109.0,9,18,3,2,0,1,0,1
0,1,176.0,5,23,4,0,1,0,3,1
141,2,168.3,9,5,4,2,1,0,3,1
102,0,101.5,10,16,4,2,0,1,0,0
31,0,67.68,12,8,3,3,0,0,0,1
105,0,75.0,10,12,4,3,0,0,0,0
0,0,144.0,8,11,4,2,0,0,0,1
99,2,137.7,7,15,4,2,1,0,3,1
225,0,150.11,12,29,4,3,2,0,5,1
9,2,111.35,5,31,4,2,0,0,0,1
44,0,75.0,2,17,3,3,0,0,0,1
50,0,85.5,4,2,4,1,0,0,0,1
13,1,85.0,3,20,3,0,1,0,0,1
30,0,140.0,6,2,3,2,0,0,0,1
34,0,100.0,10,26,3,3,0,0,0,1
25,2,80.85,9,15,4,3,0,0,0,1
134,2,93.08,7,2,4,2,2,0,0,1
12,1,81.62,5,29,4,0,2,0,0,1
2,0,91.0,10,9,3,1,0,1,0,1
330,1,106.7,10,14,4,2,0,0,1,0
37,0,95.0,10,13,3,3,0,0,0,1
123,2,90.0,12,9,4,2,1,0,0,1
2,1,78.5,1,16,4,1,0,3,0,1
127,3,106.2,12,22,4,2,0,0,0,1
68,1,108.38,4,24,4,2,2,0,0,0
75,0,12.0,3,17,3,3,1,0,0,0
1,2,106.0,8,25,4,1,0,0,0,1
22,1,105.64,9,15,4,3,1,0,3,1
1,1,81.0,2,27,4,1,0,3,0,0
39,0,87.0,8,14,3,2,0,1,0,1
16,0,70.41,11,23,4,1,0,3,0,1
36,2,104.0,12,10,4,2,2,0,0,1
34,0,85.0,10,26,3,4,1,0,0,1
143,1,103.5,8,13,4,1,0,3,0,1
57,2,130.2,11,11,4,2,1,1,0,1
40,0,117.9,6,29,4,3,0,0,0,1
34,0,112.5,3,23,4,1,0,0,3,0
82,0,38.67,3,28,3,2,1,0,0,1
83,2,132.3,10,19,4,4,0,0,3,1
34,0,99.45,10,16,4,2,0,0,0,1
74,0,101.5,9,18,3,2,0,1,0,1
94,1,125.1,4,28,4,2,0,0,3,1
18,0,104.0,12,23,4,1,0,0,0,1
60,0,60.0,10,12,3,1,1,0,0,1
15,0,83.03,3,8,4,1,0,0,1,0
91,0,80.0,4,4,3,2,1,0,0,0
40,3,177.3,8,14,4,0,2,0,3,1
5,0,65.0,8,18,2,2,0,0,0,1
23,1,115.0,4,27,4,1,0,3,0,1
418,0,75.0,9,26,3,2,1,0,0,0
2,1,118.0,5,8,4,0,2,0,3,1
237,0,95.56,12,28,4,5,2,0,0,0
171,2,110.5,7,15,4,8,4,0,0,0
147,0,78.76,7,18,4,5,1,0,0,0
70,0,100.0,6,3,3,2,0,0,1,1
0,1,150.0,5,11,4,3,0,0,0,1
308,0,52.0,11,25,3,2,0,0,0,0
304,0,89.0,11,3,3,3,0,0,0,0
140,1,103.5,8,12,4,2,0,3,0,1
115,0,75.0,2,27,3,3,2,0,0,1
113,0,96.3,4,25,4,2,1,0,0,1
77,0,116.1,6,17,4,2,0,3,0,0
36,0,137.7,4,10,4,1,2,0,0,0
77,0,90.95,3,20,4,2,2,0,3,1
143,0,94.5,8,20,4,1,0,3,0,1
189,1,70.44,10,22,4,2,2,0,0,1
125,0,114.3,8,8,4,4,1,0,0,0
24,2,124.0,9,19,4,1,1,0,0,1
4,0,86.0,1,6,4,1,0,3,0,1
39,0,201.08,12,29,4,3,1,0,3,1
13,1,90.0,10,26,3,1,0,0,0,1
28,1,136.0,10,27,4,2,0,0,3,1
11,1,124.0,9,2,4,2,0,3,0,1
232,1,109.65,9,20,4,4,0,3,0,0
40,0,71.1,3,11,4,2,2,3,0,0
22,0,75.0,8,21,3,1,0,0,0,1
26,0,226.5,9,27,4,4,0,0,5,0
19,0,65.0,11,14,2,0,1,0,0,1
320,1,115.0,8,18,4,2,0,1,0,0
195,2,112.2,8,17,4,5,2,0,3,0
104,0,132.3,10,11,4,5,2,0,3,0
12,0,114.0,11,7,4,1,2,0,0,1
96,2,178.65,8,12,4,2,1,1,0,1
272,0,90.1,7,28,4,3,2,0,0,0
21,1,174.0,11,18,4,2,0,0,5,0
17,0,125.33,12,28,4,5,1,0,3,1
57,2,177.3,4,23,4,1,2,0,5,1
25,1,113.31,6,26,4,4,2,0,3,1
36,0,71.0,1,19,3,2,0,0,0,1
1,0,109.0,2,9,4,1,0,0,0,1
322,0,80.0,5,19,3,3,1,0,0,0
39,2,83.16,10,12,4,2,1,0,3,1
2,2,89.5,12,18,4,0,1,0,0,1
67,1,95.4,12,5,4,1,2,3,0,1
205,0,90.0,5,29,3,1,2,0,0,0
6,0,79.0,2,26,4,2,0,3,0,0
120,1,109.65,5,31,4,7,2,3,0,0
45,1,124.6,7,2,4,1,2,3,0,0
15,0,85.0,4,13,3,3,0,3,0,1
134,0,94.5,5,17,4,3,0,3,0,0
95,2,139.7,7,17,4,5,4,0,3,1
94,1,72.25,12,3,4,2,0,0,0,0
163,0,115.0,10,15,4,1,2,0,0,0
40,1,88.2,3,20,4,1,2,3,0,1
15,0,65.0,12,10,2,2,0,0,0,1
23,2,169.0,9,24,4,1,1,0,3,1
113,1,108.0,10,13,4,1,0,3,0,0
6,2,100.87,5,23,4,1,1,0,0,1
81,2,139.5,7,27,4,3,0,0,3,1
53,2,118.8,10,4,4,3,0,0,0,1
3,0,67.0,9,19,2,0,1,0,0,1
99,0,65.0,10,30,3,2,2,0,0,0
8,0,114.75,5,24,4,1,0,0,0,1
68,0,0.0,9,29,4,2,0,1,0,1
109,0,89.4,10,24,4,2,1,3,0,0
55,2,90.0,7,7,4,4,0,0,0,0
75,0,168.3,8,13,4,1,2,0,3,0
27,0,87.0,3,6,3,3,2,0,0,1
189,0,72.25,8,8,3,3,1,0,0,1
14,1,96.0,9,15,4,1,0,0,0,1
24,2,159.0,5,29,4,0,1,0,3,1
1,0,79.0,2,13,2,1,0,0,0,1
4,1,113.0,6,26,4,0,2,3,0,1
32,1,73.0,11,20,3,2,0,0,0,1
4,0,106.0,3,7,3,3,1,1,0,1
1,1,76.25,1,4,4,1,1,0,1,1
86,1,120.69,8,9,4,2,0,0,0,0
87,1,135.27,8,8,4,1,1,0,3,1
15,2,127.0,9,12,4,0,1,0,0,1
106,2,84.58,7,13,3,4,0,0,0,1
80,0,136.0,10,9,3,2,0,1,3,1
180,0,85.5,8,25,4,2,0,3,0,0
141,1,123.8,9,23,4,2,0,0,0,1
88,0,54.63,10,31,4,5,2,0,0,1
160,0,71.6,7,25,4,5,3,0,0,0
243,2,106.2,9,9,4,2,1,0,0,0
9,0,86.0,12,16,4,1,0,0,0,1
1,0,0.0,2,26,4,0,0,3,0,1
94,0,73.95,3,19,4,2,2,0,0,0
4,1,111.0,11,13,4,1,2,0,0,1
166,0,110.0,11,1,3,3,0,0,0,0
121,0,76.5,8,10,4,2,1,0,0,0
140,2,103.42,5,28,4,4,2,0,3,1
12,0,106.25,5,31,4,1,0,0,0,1
105,3,102.83,11,12,4,5,2,0,0,1
93,1,112.5,8,13,4,1,0,0,0,1
275,0,62.8,6,4,3,1,1,0,0,0
34,0,181.2,4,24,4,4,2,0,5,0
9,0,75.0,11,18,2,2,0,0,0,1
30,1,135.9,7,8,4,1,0,0,0,1
152,1,90.67,8,19,4,4,2,3,0,0
41,1,70.0,12,27,3,5,1,0,0,1
0,0,130.0,10,16,4,0,2,3,0,1
119,1,76.5,8,14,4,2,2,0,0,1
121,0,43.5,3,19,3,2,2,0,0,1
39,0,129.7,9,25,4,0,1,0,0,1
37,1,89.1,6,27,4,0,1,3,0,1
39,1,115.0,3,13,3,1,2,0,0,1
19,1,118.67,10,3,4,1,2,0,0,1
102,0,40.67,1,3,3,1,2,0,0,1
64,1,126.9,4,29,4,2,1,0,0,0
61,0,78.3,3,4,4,2,1,0,0,0
94,2,137.7,7,13,4,2,0,0,3,1
199,0,102.85,12,28,4,4,0,0,3,1
25,0,9.0,11,11,1,2,0,0,0,1
37,0,69.9,2,22,4,2,1,3,0,0
15,2,187.0,7,4,4,1,1,0,3,1
0,1,135.0,7,5,4,1,0,0,0,1
181,2,118.0,5,23,4,2,1,0,0,0
8,2,179.0,10,7,4,2,2,0,3,1
32,2,184.99,5,13,4,2,1,0,6,1
92,1,96.3,4,14,4,3,0,0,0,1
186,0,80.0,4,22,3,1,0,0,0,1
246,1,81.77,9,8,4,3,0,0,1,0
4,1,0.0,12,16,1,2,0,0,0,1
64,0,140.0,5,17,2,2,0,0,0,0
119,1,83.83,6,26,4,2,2,0,1,1
170,1,103.7,8,25,4,3,2,0,3,0
94,1,72.25,12,3,4,2,0,0,0,1
63,1,149.4,9,8,4,3,0,0,3,0
18,2,166.85,12,30,4,2,2,0,3,1
132,1,113.05,5,13,4,2,2,0,3,1
181,0,120.0,10,11,3,2,0,0,0,0
83,1,124.65,5,7,4,2,2,0,0,1
91,1,83.87,4,3,4,4,2,0,0,1
1,1,156.0,10,16,4,3,2,0,0,1
94,0,137.4,6,3,4,2,1,0,3,0
90,0,76.5,8,23,4,3,2,0,0,1
201,1,103.5,8,9,4,2,0,3,0,0
99,0,80.0,2,19,2,1,0,0,0,1
182,0,126.9,9,20,4,4,0,0,0,0
0,0,80.75,4,10,3,3,2,0,0,1
31,0,95.0,10,9,2,2,2,0,0,1
30,1,144.9,8,5,4,2,0,0,0,1
7,2,133.83,4,9,4,1,2,0,0,1
19,2,104.0,9,19,3,0,1,0,0,1
72,1,135.9,9,10,4,1,1,0,0,1
33,0,210.6,4,30,4,1,1,1,3,0
274,2,0.0,11,4,4,0,0,0,0,1
257,0,101.5,7,1,4,2,0,1,0,0
89,3,107.1,6,26,4,3,2,0,0,1
141,1,128.8,9,23,4,2,0,0,0,1
68,0,68.0,7,4,4,1,2,0,0,0
42,0,60.0,11,4,3,3,0,0,3,1
6,0,0.0,12,10,4,2,0,0,0,1
0,0,110.0,9,19,2,2,1,0,3,1
247,1,115.0,6,6,3,1,1,1,0,0
65,1,149.4,9,9,4,2,0,0,3,0
35,1,82.45,1,29,4,2,1,0,3,1
97,1,110.5,4,25,4,3,1,3,0,1
72,0,108.0,9,18,3,1,0,1,0,1
256,1,115.0,6,15,4,2,0,1,0,0
133,0,118.8,9,3,4,1,2,3,0,0
1,0,109.0,7,29,4,1,0,3,0,0
45,0,99.18,9,5,4,3,1,0,3,1
33,1,135.9,8,8,4,2,1,0,0,0
0,1,150.92,6,13,4,3,1,0,5,1
67,1,140.4,5,27,4,2,0,0,3,1
53,0,116.1,5,6,4,2,0,3,0,0
1,0,0.0,9,4,4,2,1,0,0,1
47,1,130.61,9,27,4,4,0,0,3,0
305,0,89.0,11,4,3,2,1,0,0,0
174,1,105.3,8,6,4,1,0,0,0,0
171,0,99.45,8,5,4,2,2,0,0,0
52,0,63.75,3,9,4,4,0,3,0,0
6,0,125.0,5,31,4,3,0,0,0,0
257,3,106.2,10,2,4,1,2,0,0,1
113,0,85.0,6,30,3,3,1,0,0,0
0,0,79.0,1,19,4,2,0,0,0,1
28,1,89.0,2,10,4,2,0,0,0,1
12,1,125.8,12,28,4,4,0,0,3,1
5,0,100.0,9,20,2,0,2,0,0,1
52,1,131.4,3,19,4,1,2,0,3,0
228,1,102.85,10,5,4,4,0,0,0,0
172,0,95.0,6,24,4,2,0,0,0,0
136,1,106.2,3,25,4,2,1,0,0,0
69,0,123.98,9,1,4,6,2,3,0,0
188,0,130.0,6,15,3,2,0,0,0,0
19,0,112.0,11,1,4,2,0,0,0,0
147,1,99.45,5,22,4,2,2,0,0,1
6,0,98.0,5,18,2,1,0,0,0,1
89,2,104.0,12,10,4,1,1,0,0,1
202,0,128.7,10,22,4,1,2,0,3,0
159,2,113.4,9,29,4,3,1,3,0,0
0,1,110.0,9,27,2,1,0,0,3,1
34,1,135.9,7,9,4,2,2,0,0,1
17,2,107.09,12,2,4,3,2,0,3,1
31,0,63.0,12,3,3,1,2,3,0,1
9,0,70.4,1,28,4,3,1,0,0,1
28,0,73.88,3,4,4,2,2,0,0,1
3,1,92.0,8,12,4,2,1,3,0,1
71,1,126.0,5,10,3,3,0,1,0,1
4,0,121.0,5,31,2,2,0,0,0,1
78,1,60.0,2,20,3,2,2,0,0,1
55,0,104.0,4,6,3,1,0,1,0,1
7,0,67.0,5,23,2,2,1,0,0,1
26,2,109.0,11,2,4,3,0,3,0,1
64,0,73.95,2,12,4,2,2,0,0,0
42,1,80.76,3,6,4,2,2,0,0,0
19,0,95.0,9,10,3,2,2,0,0,1
1,0,97.0,6,23,4,1,0,3,0,1
443,0,65.0,4,29,3,1,0,0,0,0
20,0,58.0,12,27,3,1,2,0,0,1
6,2,120.0,10,20,4,2,0,0,0,1
102,0,79.65,10,30,4,2,2,3,0,0
1,1,103.18,10,9,4,0,1,3,0,1
83,0,132.3,10,6,4,3,1,0,3,0
101,1,96.3,4,9,4,1,1,0,0,0
96,1,79.0,11,6,2,3,2,0,0,1
51,0,90.9,3,29,4,1,0,0,0,0
263,0,67.0,9,21,3,0,1,0,0,1
7,0,80.0,10,12,2,0,1,3,0,1
115,2,131.4,8,23,4,5,0,0,3,1
122,0,116.1,6,9,4,3,0,3,0,0
256,1,124.0,6,15,4,2,0,1,0,0
79,3,120.6,7,24,4,4,2,0,3,1
39,2,98.94,2,8,3,1,1,0,0,1
13,0,110.4,8,21,4,3,2,3,0,1
0,1,65.0,1,20,2,1,0,0,0,1
32,2,149.4,9,15,4,2,0,0,3,1
9,0,98.64,12,25,4,3,2,0,4,1
211,0,100.0,5,20,3,2,0,0,0,0
62,2,105.0,11,12,4,2,2,0,0,1
17,1,91.0,3,14,4,3,1,0,0,1
49,2,168.3,8,21,4,0,2,0,3,1
114,0,75.0,7,1,3,2,1,0,0,0
77,2,104.4,10,25,4,3,0,0,3,1
15,0,88.4,12,20,4,5,2,0,0,1
119,0,110.0,6,7,3,2,0,0,0,1
89,1,85.0,9,4,3,5,2,0,0,1
265,1,115.0,6,24,3,2,0,1,0,0
30,0,137.52,9,12,4,3,1,0,4,1
135,2,92.28,7,15,4,2,2,3,0,1
23,0,118.8,9,6,4,3,2,0,0,1
276,0,61.0,5,13,3,3,2,0,0,0
30,1,15.0,1,3,4,0,1,0,1,1
46,2,128.6,11,19,4,1,2,0,0,1
63,0,102.6,11,18,4,1,0,0,3,0
18,0,115.0,4,14,4,2,0,3,0,0
145,1,269.3,8,4,4,3,0,0,6,0
247,0,109.0,6,6,3,1,1,1,0,0
34,0,224.67,9,23,3,3,0,1,0,0
12,0,65.0,12,8,2,2,0,0,0,1
110,0,90.95,4,20,4,2,0,0,3,1
36,1,96.3,11,13,4,2,0,0,0,1
88,0,112.2,10,5,3,1,1,1,0,1
13,0,79.0,2,5,4,4,2,3,0,0
3,1,93.0,2,4,4,1,0,0,0,1
17,1,173.67,7,28,4,3,0,0,3,1
96,1,96.3,4,18,4,2,1,0,0,1
44,0,75.0,7,8,2,1,0,0,0,1
49,1,158.4,10,15,4,1,2,0,3,0
335,0,80.0,10,13,3,3,0,0,0,1
207,0,112.5,8,17,4,2,0,0,0,0
27,0,62.8,3,21,3,3,1,3,0,1
48,1,135.9,9,19,4,1,1,0,0,1
8,1,65.0,7,28,2,1,0,0,0,1
47,0,65.0,11,11,2,1,0,0,0,1
165,0,151.2,10,7,4,2,1,0,3,0
18,0,123.5,9,7,4,3,1,0,0,1
19,0,48.0,9,21,3,1,1,0,0,0
136,0,80.75,9,4,3,2,2,0,0,1
32,1,134.78,9,25,4,2,2,0,3,1
290,0,72.0,6,17,3,2,1,0,0,0
64,0,75.0,11,18,3,2,1,0,0,1
6,1,126.0,5,9,4,1,1,0,3,1
4,2,120.0,11,5,4,1,0,0,0,1
32,0,85.0,7,18,3,1,1,0,0,1
31,2,149.4,9,9,4,2,2,0,3,1
86,0,105.0,9,24,3,2,0,0,0,1
35,1,104.85,10,17,4,1,1,0,0,1
2,2,185.0,8,11,4,1,0,0,3,1
14,2,126.0,10,19,4,1,1,0,0,1
16,2,144.67,4,12,4,3,0,0,3,1
2,1,78.0,12,16,4,1,0,3,0,1
175,1,90.95,7,15,4,2,2,0,0,1
52,1,108.0,8,29,4,2,1,3,0,1
0,0,79.0,1,6,2,2,0,0,0,1
106,1,95.0,5,29,3,0,1,0,0,1
87,1,82.45,3,30,4,4,1,0,0,1
37,1,132.84,9,29,4,2,0,0,3,0
171,0,121.5,8,3,4,3,0,0,0,0
75,0,80.0,3,17,3,3,1,0,0,0
40,0,95.0,7,26,3,1,0,1,0,1
24,1,108.5,4,11,4,3,1,0,0,1
270,0,80.0,4,20,3,4,0,0,0,1
50,1,123.3,9,2,4,2,1,0,3,0
60,0,48.0,9,21,3,1,1,0,0,0
74,2,101.87,10,19,4,4,1,0,3,1
196,1,99.45,8,1,4,5,2,0,3,1
14,1,110.8,6,8,3,4,0,0,0,1
317,0,120.0,9,15,3,2,0,0,0,0
116,2,79.2,12,17,4,1,2,3,0,1
49,0,152.1,8,15,4,2,1,0,0,0
265,0,83.33,6,24,3,2,1,0,0,1
6,0,0.0,12,10,4,2,0,1,0,1
44,1,102.6,10,2,4,0,2,3,0,1
41,2,98.67,10,6,4,3,0,0,0,1
285,0,100.0,10,3,3,3,1,0,0,0
13,1,128.71,10,18,4,5,2,0,0,1
1,0,107.0,4,19,3,2,0,0,3,1
30,0,85.0,10,27,3,3,0,0,0,1
63,0,54.46,3,30,4,4,0,3,0,1
14,0,80.09,1,20,4,14,5,0,0,1
54,2,85.5,9,15,4,1,0,0,0,1
164,0,100.0,10,2,3,2,0,0,0,1
9,0,84.0,1,20,4,4,0,0,0,1
21,0,79.0,2,12,4,2,0,3,0,1
26,1,131.57,11,5,4,11,4,0,3,0
29,2,98.98,10,13,4,4,0,0,0,1
16,0,127.5,4,7,4,3,1,0,3,0
101,1,68.0,8,6,4,2,0,0,0,1
102,0,80.0,10,16,4,2,0,1,0,0
255,1,80.85,6,3,4,1,0,0,0,0
2,1,119.0,12,2,4,2,2,0,3,1
16,1,138.0,9,8,4,1,0,0,0,1
301,0,90.0,7,30,3,1,1,1,0,1
150,0,101.0,1,2,3,1,2,1,0,1
92,1,80.75,6,26,3,1,2,0,0,1
201,0,86.5,7,21,4,1,0,0,1,0
72,1,89.25,10,21,4,4,0,0,0,1
25,1,81.86,3,8,4,5,2,3,0,0
38,0,88.8,6,20,4,3,1,0,0,0
156,1,72.25,7,16,3,2,2,0,0,1
39,1,65.0,12,27,3,1,0,0,0,1
136,0,90.9,8,26,4,2,0,0,0,1
53,1,121.35,9,1,4,4,2,0,3,1
32,0,149.4,3,25,4,2,0,0,3,0
270,0,62.8,4,20,3,4,0,0,0,0
15,0,86.0,2,5,2,2,0,0,4,1
143,0,100.0,8,25,3,3,0,0,0,1
67,0,72.25,7,23,3,1,1,0,0,1
184,0,98.1,10,12,4,1,0,3,0,0
228,1,136.19,12,29,4,4,2,0,5,0
14,0,100.0,10,15,3,2,0,0,0,1
179,2,90.95,7,6,4,4,0,0,0,1
85,1,99.9,7,25,4,1,1,0,0,1
94,1,110.75,3,28,3,5,1,1,0,1
69,0,82.45,3,30,4,4,0,0,0,0
102,0,79.2,12,5,4,1,1,3,0,0
221,0,65.0,10,10,3,1,2,0,0,1
251,1,73.35,11,21,4,1,1,3,0,1
286,0,90.0,10,16,3,0,1,0,0,0
112,0,58.9,3,21,4,2,1,3,1,1
12,0,65.0,8,5,2,3,0,0,0,1
